make,model,variant,yearFrom,yearTo,bodyType,doors,seats,engineCode,engineDisplacement,engineCylinders,engineValves,engineFuelType,enginePowerBhp,enginePowerKw,engineTorqueNm,engineAspiration,enginePosition,gearboxType,gears,drivetrain,acceleration0100,topSpeedKph,topSpeedMph,fuelEconomyCombinedMpg,fuelEconomyCombinedL100,fuelEconomyUrbanL100,fuelEconomyExtraUrbanL100,fuelTankLitres,co2Gkm,emissionsStandard,noxMgkm,lengthMm,widthMm,heightMm,wheelbaseMm,weightKg,grossWeightKg,bootLitres,bootLitresMax,tyreFront,tyreRear,brakeFront,brakeRear,batteryKwh,electricRangeKm,chargingKw
FORD,C-Max,1.6L EcoBoost 6MT FWD (150 HP),2010,2014,,,,,1596,4,,PETROL,150,112,240,,,MANUAL,6,FWD,9.4,204,127,42.8,5.5,7.3,4.4,60,,,,4379,1829,1626,2649,1385,,433,,205/55 R16,,Ventilated Discs,Discs,,,
FORD,C-Max,1.6L EcoBoost 6MT FWD (182 HP),2010,2014,,,,,1596,4,,PETROL,180,134,240,,,MANUAL,6,FWD,9.4,204,127,42.8,5.5,7.3,4.4,60,,,,4379,1829,1626,2649,1385,,433,,205/55 R16,,Ventilated Discs,Discs,,,
FORD,C-Max,1.6L TDCi 6MT FWD (115 HP),2014,2019,,,,,1560,4,,DIESEL,113,84.6,215,,,MANUAL,6,FWD,11.3,183,114,52.3,4.5,5.4,4,54,,,,4379,1829,1610,2649,1390,,470,,205/55 R16,,278Mm Ventilated Discs,280Mm Discs,,,
FORD,C-Max,1.6L Ti-VCT 5MT FWD (117 HP),2014,2019,,,,,1596,4,,PETROL,115,86,140,,,MANUAL,5,FWD,11.6,171,106,51.1,4.6,6.4,3.6,,,,,4379,1829,1610,2649,1374,,470,,205/55 R16,,278Mm Ventilated Discs,280Mm Discs,,,
FORD,C-Max,1.6L Ti-VCT 5MT FWD (85 HP),2014,2019,,,,,1596,4,,PETROL,84,63,150,,,MANUAL,5,FWD,15.7,166,103,36.8,6.4,8.4,5.2,60,,,,4379,1829,1610,2649,1374,,470,,205/55 R16,,278Mm Ventilated Discs,280Mm Discs,,,
FORD,C-Max,2.0L Hybrid eCVT FWD (141 HP),2010,2014,,,,,1999,4,,,139,104,175,,,CVT,,FWD,8.4,185,115,47,5,5,5,60,,,,4379,1829,1626,2649,1651,,694,,225/50 R17,,Ventilated Discs,Discs,,,
FORD,C-Max,2.0L TDCi 6AT (163 HP),2010,2014,,,,,1997,4,,DIESEL,161,120,340,,,AUTOMATIC,6,FWD,9.3,208,129,42,5.6,7.1,4.8,60,,,,4379,1834,1626,2649,1488,,433,,205/55 R16,,Ventilated Discs,Discs,,,
FORD,C-Max,2.0L TDCi 6AT FWD (115 HP),2010,2014,,,,,1997,4,,DIESEL,114,85,300,,,AUTOMATIC,6,FWD,11.8,185,115,42,5.6,7.1,4.8,60,,,,4379,1829,1626,2649,1488,,433,,205/55 R16,,Ventilated Discs,Discs,,,
FORD,C-Max,2.0L TDCi 6AT FWD (140 HP),2010,2014,,,,,1997,4,,DIESEL,138,103,320,,,AUTOMATIC,6,FWD,10.1,200,124,42,5.6,7.1,4.8,60,,,,4379,1829,1626,2649,1488,,433,,205/55 R16,,Ventilated Discs,Discs,,,
FORD,C-Max,2.0L TDCi 6AT FWD (150 HP),2014,2019,,,,,1997,4,,DIESEL,148,110,370,,,AUTOMATIC,6,FWD,10.3,203,126,49,4.8,5.5,4.4,60,,,,4379,1829,1610,2649,1519,,470,,205/55 R16,,278Mm Ventilated Discs,280Mm Discs,,,
FORD,C-Max,2.0L TDCi 6AT FWD (170 HP),2014,2019,,,,,1997,4,,DIESEL,168,125,400,,,AUTOMATIC,6,FWD,8.5,212,132,49,4.8,5.5,4.4,60,,,,4379,1829,1610,2649,1519,,470,,205/55 R16,,278Mm Ventilated Discs,280Mm Discs,,,
FORD,C-Max,2.0L TDCi 6MT FWD (140 HP),2010,2014,,,,,1997,4,,DIESEL,138,103,320,,,MANUAL,6,FWD,9.6,201,125,46,5.1,6.4,4.4,60,,,,4379,1829,1626,2649,1488,,433,,205/55 R16,,Ventilated Discs,Discs,,,
